source,target,rel
56,0,targets
56,2,targets
56,25,requires
56,41,hasType
56,53,hasIntensity
56,41,supportsGoal
57,0,targets
57,2,targets
57,25,requires
57,41,hasType
57,53,hasIntensity
57,41,supportsGoal
58,0,targets
58,2,targets
58,25,requires
58,41,hasType
58,53,hasIntensity
58,41,supportsGoal
59,0,targets
59,2,targets
59,25,requires
59,41,hasType
59,53,hasIntensity
59,41,supportsGoal
60,0,targets
60,2,targets
60,1,targets
60,40,requires
60,41,hasType
60,51,hasIntensity
60,41,supportsGoal
61,0,targets
61,2,targets
61,40,requires
61,41,hasType
61,52,hasIntensity
61,41,supportsGoal
62,0,targets
62,2,targets
62,40,requires
62,41,hasType
62,52,hasIntensity
62,41,supportsGoal
63,0,targets
63,2,targets
63,33,requires
63,41,hasType
63,52,hasIntensity
63,41,supportsGoal
64,0,targets
64,2,targets
64,25,requires
64,41,hasType
64,53,hasIntensity
64,41,supportsGoal
65,1,targets
65,2,targets
65,25,requires
65,41,hasType
65,53,hasIntensity
65,41,supportsGoal
66,0,targets
66,2,targets
66,25,requires
66,41,hasType
66,53,hasIntensity
66,41,supportsGoal
67,0,targets
67,2,targets
67,25,requires
67,41,hasType
67,53,hasIntensity
67,41,supportsGoal
68,1,targets
68,2,targets
68,8,targets
68,25,requires
68,41,hasType
68,53,hasIntensity
68,41,supportsGoal
69,2,targets
69,40,requires
69,41,hasType
69,52,hasIntensity
69,41,supportsGoal
70,2,targets
70,1,targets
70,40,requires
70,41,hasType
70,52,hasIntensity
70,41,supportsGoal
71,0,targets
71,2,targets
71,40,requires
71,41,hasType
71,52,hasIntensity
71,42,supportsGoal
72,13,targets
72,40,requires
72,41,hasType
72,52,hasIntensity
72,42,supportsGoal
73,16,targets
73,40,requires
73,41,hasType
73,52,hasIntensity
73,41,supportsGoal
74,0,targets
74,2,targets
74,25,requires
74,41,hasType
74,53,hasIntensity
74,41,supportsGoal
75,16,targets
75,40,requires
75,45,hasType
75,53,hasIntensity
75,54,supportsGoal
76,5,targets
76,14,targets
76,10,targets
76,25,requires
76,41,hasType
76,52,hasIntensity
76,41,supportsGoal
77,5,targets
77,14,targets
77,26,requires
77,41,hasType
77,52,hasIntensity
77,41,supportsGoal
78,5,targets
78,10,targets
78,25,requires
78,41,hasType
78,52,hasIntensity
78,41,supportsGoal
79,0,targets
79,2,targets
79,25,requires
79,41,hasType
79,52,hasIntensity
79,41,supportsGoal
80,5,targets
80,14,targets
80,10,targets
80,40,requires
80,41,hasType
80,52,hasIntensity
80,41,supportsGoal
81,14,targets
81,40,requires
81,41,hasType
81,52,hasIntensity
81,41,supportsGoal
82,5,targets
82,26,requires
82,41,hasType
82,52,hasIntensity
82,42,supportsGoal
83,5,targets
83,28,requires
83,48,hasType
83,52,hasIntensity
83,42,supportsGoal
84,5,targets
84,40,requires
84,41,hasType
84,52,hasIntensity
84,41,supportsGoal
85,0,targets
85,2,targets
85,25,requires
85,41,hasType
85,52,hasIntensity
85,41,supportsGoal
86,0,targets
86,2,targets
86,25,requires
86,41,hasType
86,52,hasIntensity
86,41,supportsGoal
87,0,targets
87,2,targets
87,25,requires
87,41,hasType
87,52,hasIntensity
87,41,supportsGoal
88,5,targets
88,40,requires
88,41,hasType
88,52,hasIntensity
88,41,supportsGoal
89,0,targets
89,2,targets
89,25,requires
89,41,hasType
89,52,hasIntensity
89,41,supportsGoal
90,5,targets
90,40,requires
90,41,hasType
90,52,hasIntensity
90,41,supportsGoal
91,7,targets
91,6,targets
91,13,targets
91,34,requires
91,41,hasType
91,52,hasIntensity
91,41,supportsGoal
92,7,targets
92,6,targets
92,34,requires
92,41,hasType
92,52,hasIntensity
92,41,supportsGoal
93,7,targets
93,28,requires
93,41,hasType
93,52,hasIntensity
93,41,supportsGoal
94,7,targets
94,6,targets
94,28,requires
94,45,hasType
94,52,hasIntensity
94,54,supportsGoal
95,7,targets
95,6,targets
95,28,requires
95,45,hasType
95,52,hasIntensity
95,54,supportsGoal
96,7,targets
96,6,targets
96,26,requires
96,45,hasType
96,52,hasIntensity
96,54,supportsGoal
97,7,targets
97,6,targets
97,28,requires
97,45,hasType
97,52,hasIntensity
97,54,supportsGoal
98,7,targets
98,6,targets
98,28,requires
98,45,hasType
98,52,hasIntensity
98,54,supportsGoal
99,7,targets
99,6,targets
99,28,requires
99,45,hasType
99,52,hasIntensity
99,54,supportsGoal
100,7,targets
100,6,targets
100,40,requires
100,41,hasType
100,52,hasIntensity
100,41,supportsGoal
101,7,targets
101,6,targets
101,40,requires
101,41,hasType
101,52,hasIntensity
101,41,supportsGoal
102,16,targets
102,40,requires
102,41,hasType
102,52,hasIntensity
102,41,supportsGoal
103,16,targets
103,40,requires
103,41,hasType
103,52,hasIntensity
103,42,supportsGoal
104,7,targets
104,6,targets
104,28,requires
104,41,hasType
104,52,hasIntensity
104,41,supportsGoal
105,7,targets
105,6,targets
105,28,requires
105,45,hasType
105,52,hasIntensity
105,54,supportsGoal
106,10,targets
106,11,targets
106,14,targets
106,25,requires
106,41,hasType
106,52,hasIntensity
106,41,supportsGoal
107,0,targets
107,2,targets
107,25,requires
107,41,hasType
107,52,hasIntensity
107,41,supportsGoal
108,0,targets
108,2,targets
108,25,requires
108,41,hasType
108,52,hasIntensity
108,41,supportsGoal
109,0,targets
109,2,targets
109,25,requires
109,41,hasType
109,52,hasIntensity
109,41,supportsGoal
110,11,targets
110,40,requires
110,41,hasType
110,52,hasIntensity
110,41,supportsGoal
111,16,targets
111,40,requires
111,41,hasType
111,52,hasIntensity
111,41,supportsGoal
112,12,targets
112,40,requires
112,41,hasType
112,52,hasIntensity
112,42,supportsGoal
113,7,targets
113,6,targets
113,28,requires
113,45,hasType
113,52,hasIntensity
113,54,supportsGoal
114,7,targets
114,6,targets
114,28,requires
114,45,hasType
114,52,hasIntensity
114,54,supportsGoal
115,0,targets
115,2,targets
115,25,requires
115,41,hasType
115,52,hasIntensity
115,41,supportsGoal
116,0,targets
116,2,targets
116,25,requires
116,41,hasType
116,52,hasIntensity
116,41,supportsGoal
117,0,targets
117,2,targets
117,25,requires
117,41,hasType
117,52,hasIntensity
117,41,supportsGoal
118,0,targets
118,2,targets
118,25,requires
118,41,hasType
118,52,hasIntensity
118,41,supportsGoal
119,13,targets
119,25,requires
119,41,hasType
119,52,hasIntensity
119,42,supportsGoal
120,13,targets
120,26,requires
120,41,hasType
120,52,hasIntensity
120,42,supportsGoal
121,13,targets
121,40,requires
121,41,hasType
121,52,hasIntensity
121,42,supportsGoal
122,13,targets
122,40,requires
122,41,hasType
122,52,hasIntensity
122,42,supportsGoal
123,13,targets
123,40,requires
123,41,hasType
123,52,hasIntensity
123,42,supportsGoal
124,13,targets
124,28,requires
124,41,hasType
124,52,hasIntensity
124,42,supportsGoal
125,14,targets
125,40,requires
125,41,hasType
125,52,hasIntensity
125,41,supportsGoal
126,10,targets
126,11,targets
126,40,requires
126,41,hasType
126,52,hasIntensity
126,42,supportsGoal
127,14,targets
127,40,requires
127,41,hasType
127,52,hasIntensity
127,41,supportsGoal
128,0,targets
128,2,targets
128,25,requires
128,41,hasType
128,52,hasIntensity
128,41,supportsGoal
129,5,targets
129,40,requires
129,41,hasType
129,52,hasIntensity
129,41,supportsGoal
130,5,targets
130,25,requires
130,41,hasType
130,52,hasIntensity
130,41,supportsGoal
131,16,targets
131,40,requires
131,48,hasType
131,51,hasIntensity
131,46,supportsGoal
132,16,targets
132,40,requires
132,48,hasType
132,51,hasIntensity
132,46,supportsGoal
133,16,targets
133,40,requires
133,48,hasType
133,52,hasIntensity
133,41,supportsGoal
134,16,targets
134,40,requires
134,41,hasType
134,52,hasIntensity
134,41,supportsGoal
135,17,targets
135,40,requires
135,41,hasType
135,52,hasIntensity
135,41,supportsGoal
136,0,targets
136,2,targets
136,40,requires
136,48,hasType
136,52,hasIntensity
136,41,supportsGoal
137,16,targets
137,28,requires
137,48,hasType
137,52,hasIntensity
137,41,supportsGoal
138,16,targets
138,40,requires
138,48,hasType
138,52,hasIntensity
138,41,supportsGoal
139,0,targets
139,2,targets
139,25,requires
139,41,hasType
139,52,hasIntensity
139,41,supportsGoal
139,46,supportsGoal
140,16,targets
140,40,requires
140,46,hasType
140,52,hasIntensity
140,41,supportsGoal
141,7,targets
141,6,targets
141,40,requires
141,41,hasType
141,52,hasIntensity
141,42,supportsGoal
142,16,targets
142,40,requires
142,41,hasType
142,52,hasIntensity
142,41,supportsGoal
143,16,targets
143,40,requires
143,41,hasType
143,52,hasIntensity
143,41,supportsGoal
144,16,targets
144,40,requires
144,41,hasType
144,52,hasIntensity
144,41,supportsGoal
145,0,targets
145,3,targets
145,39,requires
145,45,hasType
145,52,hasIntensity
145,54,supportsGoal
146,16,targets
146,40,requires
146,45,hasType
146,52,hasIntensity
146,54,supportsGoal
147,0,targets
147,3,targets
147,147,requires
147,41,hasType
147,52,hasIntensity
147,41,supportsGoal
148,7,targets
148,6,targets
148,38,requires
148,45,hasType
148,52,hasIntensity
148,54,supportsGoal
149,16,targets
149,40,requires
149,45,hasType
149,52,hasIntensity
149,54,supportsGoal
150,16,targets
150,40,requires
150,45,hasType
150,53,hasIntensity
150,54,supportsGoal
151,16,targets
151,40,requires
151,45,hasType
151,53,hasIntensity
151,54,supportsGoal
152,16,targets
152,40,requires
152,45,hasType
152,53,hasIntensity
152,54,supportsGoal
153,16,targets
153,40,requires
153,41,hasType
153,52,hasIntensity
153,41,supportsGoal
154,16,targets
154,40,requires
154,41,hasType
154,52,hasIntensity
154,41,supportsGoal
155,16,targets
155,40,requires
155,41,hasType
155,52,hasIntensity
155,41,supportsGoal
156,16,targets
156,40,requires
156,45,hasType
156,53,hasIntensity
156,54,supportsGoal
157,16,targets
157,40,requires
157,41,hasType
157,52,hasIntensity
157,41,supportsGoal
158,16,targets
158,40,requires
158,46,hasType
158,51,hasIntensity
158,46,supportsGoal
159,0,targets
159,2,targets
159,40,requires
159,46,hasType
159,51,hasIntensity
159,46,supportsGoal
160,16,targets
160,40,requires
160,41,hasType
160,52,hasIntensity
160,41,supportsGoal
161,16,targets
161,40,requires
161,46,hasType
161,51,hasIntensity
161,46,supportsGoal
162,16,targets
162,40,requires
162,46,hasType
162,51,hasIntensity
162,41,supportsGoal
163,16,targets
163,40,requires
163,41,hasType
163,52,hasIntensity
163,41,supportsGoal
164,16,targets
164,40,requires
164,41,hasType
164,52,hasIntensity
164,41,supportsGoal
165,0,targets
165,2,targets
165,40,requires
165,41,hasType
165,52,hasIntensity
165,41,supportsGoal
166,10,targets
166,11,targets
166,29,requires
166,41,hasType
166,52,hasIntensity
166,41,supportsGoal
167,16,targets
167,40,requires
167,46,hasType
167,51,hasIntensity
167,46,supportsGoal
168,1,targets
168,2,targets
168,6,targets
168,25,requires
168,41,hasType
168,53,hasIntensity
168,41,supportsGoal
169,1,targets
169,2,targets
169,6,targets
169,25,requires
169,41,hasType
169,53,hasIntensity
169,41,supportsGoal
170,16,targets
170,25,requires
170,41,hasType
170,53,hasIntensity
170,41,supportsGoal
171,16,targets
171,25,requires
171,41,hasType
171,53,hasIntensity
171,41,supportsGoal
172,5,targets
172,40,requires
172,41,hasType
172,52,hasIntensity
172,41,supportsGoal
173,16,targets
173,40,requires
173,41,hasType
173,52,hasIntensity
173,41,supportsGoal
174,16,targets
174,25,requires
174,41,hasType
174,53,hasIntensity
174,41,supportsGoal
175,16,targets
175,25,requires
175,41,hasType
175,53,hasIntensity
175,41,supportsGoal
176,7,targets
176,6,targets
176,25,requires
176,41,hasType
176,53,hasIntensity
176,41,supportsGoal
177,16,targets
177,40,requires
177,45,hasType
177,52,hasIntensity
177,54,supportsGoal
178,0,targets
178,2,targets
178,25,requires
178,41,hasType
178,53,hasIntensity
178,41,supportsGoal
179,7,targets
179,6,targets
179,28,requires
179,45,hasType
179,52,hasIntensity
179,54,supportsGoal
180,0,targets
180,2,targets
180,25,requires
180,41,hasType
180,53,hasIntensity
180,41,supportsGoal
181,0,targets
181,2,targets
181,25,requires
181,41,hasType
181,53,hasIntensity
181,41,supportsGoal
182,16,targets
182,40,requires
182,41,hasType
182,52,hasIntensity
182,46,supportsGoal
183,0,targets
183,2,targets
183,40,requires
183,41,hasType
183,52,hasIntensity
183,46,supportsGoal
184,16,targets
184,40,requires
184,41,hasType
184,52,hasIntensity
184,41,supportsGoal
185,16,targets
185,40,requires
185,45,hasType
