node_id,name,type,attrs_json
0,Quadriceps,MuscleGroup,{}
1,Hamstrings,MuscleGroup,{}
2,Glutes,MuscleGroup,{}
3,Calves,MuscleGroup,{}
4,Hip Flexors,MuscleGroup,{}
5,Chest,MuscleGroup,{}
6,Upper Back,MuscleGroup,{}
7,Lats,MuscleGroup,{}
8,Lower Back,MuscleGroup,{}
9,Deltoids Anterior,MuscleGroup,{}
10,Deltoids Lateral,MuscleGroup,{}
11,Deltoids Posterior,MuscleGroup,{}
12,Deltoids,MuscleGroup,{}
13,Biceps,MuscleGroup,{}
14,Triceps,MuscleGroup,{}
15,Forearms,MuscleGroup,{}
16,Core,MuscleGroup,{}
17,Obliques,MuscleGroup,{}
18,Lower Abs,MuscleGroup,{}
19,Upper Abs,MuscleGroup,{}
20,Adductors,MuscleGroup,{}
21,Abductors,MuscleGroup,{}
22,Serratus Anterior,MuscleGroup,{}
23,Neck,MuscleGroup,{}
24,Barbell,Equipment,{}
25,Dumbbell,Equipment,{}
26,Kettlebell,Equipment,{}
27,Cable Machine,Equipment,{}
28,Resistance Band,Equipment,{}
29,Bodyweight,Equipment,{}
30,Bench,Equipment,{}
31,Smith Machine,Equipment,{}
32,Leg Press Machine,Equipment,{}
33,Pull-up Bar,Equipment,{}
34,Stability Ball,Equipment,{}
35,Medicine Ball,Equipment,{}
36,TRX,Equipment,{}
37,Rowing Machine,Equipment,{}
38,Treadmill,Equipment,{}
39,None,Equipment,{}
40,Strength,ExerciseType,{}
41,Hypertrophy,ExerciseType,{}
42,Power,ExerciseType,{}
43,Endurance,ExerciseType,{}
44,Cardio,ExerciseType,{}
45,Mobility,ExerciseType,{}
46,Flexibility,ExerciseType,{}
47,Stability,ExerciseType,{}
48,Balance,ExerciseType,{}
49,Plyometrics,ExerciseType,{}
50,Low,IntensityLevel,{}
51,Moderate,IntensityLevel,{}
52,High,IntensityLevel,{}
53,Fat Loss,ExerciseGoal,{}
54,Rehab,ExerciseGoal,{}
55,Barbell Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength"", ""Hypertrophy""]}"
56,Front Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength"", ""Hypertrophy""]}"
57,Goblet Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength"", ""Hypertrophy""]}"
58,Bulgarian Split Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength"", ""Hypertrophy""]}"
59,Walking Lunge,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength"", ""Hypertrophy""]}"
