node_id,name,type,attrs_json
0,Quadriceps,MuscleGroup,{}
1,Hamstrings,MuscleGroup,{}
2,Glutes,MuscleGroup,{}
3,Calves,MuscleGroup,{}
4,Hip Flexors,MuscleGroup,{}
5,Chest,MuscleGroup,{}
6,Upper Back,MuscleGroup,{}
7,Lats,MuscleGroup,{}
8,Lower Back,MuscleGroup,{}
9,Trapezius,MuscleGroup,{}
10,Deltoids Anterior,MuscleGroup,{}
11,Deltoids Lateral,MuscleGroup,{}
12,Deltoids Posterior,MuscleGroup,{}
13,Biceps,MuscleGroup,{}
14,Triceps,MuscleGroup,{}
15,Forearms,MuscleGroup,{}
16,Core,MuscleGroup,{}
17,Obliques,MuscleGroup,{}
18,Erector Spinae,MuscleGroup,{}
19,Lower Abs,MuscleGroup,{}
20,Upper Abs,MuscleGroup,{}
21,Adductors,MuscleGroup,{}
22,Abductors,MuscleGroup,{}
23,Serratus Anterior,MuscleGroup,{}
24,Neck,MuscleGroup,{}
25,Barbell,Equipment,{}
26,Dumbbell,Equipment,{}
27,Kettlebell,Equipment,{}
28,Cable Machine,Equipment,{}
29,Resistance Band,Equipment,{}
30,Bodyweight,Equipment,{}
31,Bench,Equipment,{}
32,Smith Machine,Equipment,{}
33,Leg Press Machine,Equipment,{}
34,Pull-up Bar,Equipment,{}
35,Stability Ball,Equipment,{}
36,Medicine Ball,Equipment,{}
37,TRX,Equipment,{}
38,Rowing Machine,Equipment,{}
39,Treadmill,Equipment,{}
40,None,Equipment,{}
41,Strength,ExerciseType,{}
42,Hypertrophy,ExerciseType,{}
43,Power,ExerciseType,{}
44,Endurance,ExerciseType,{}
45,Cardio,ExerciseType,{}
46,Mobility,ExerciseType,{}
47,Flexibility,ExerciseType,{}
48,Stability,ExerciseType,{}
49,Balance,ExerciseType,{}
50,Plyometrics,ExerciseType,{}
51,Low,IntensityLevel,{}
52,Moderate,IntensityLevel,{}
53,High,IntensityLevel,{}
54,Fat Loss,ExerciseGoal,{}
55,Rehab,ExerciseGoal,{}
56,Barbell Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
57,Front Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
58,Goblet Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
59,Bulgarian Split Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
60,Walking Lunge,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes"", ""Hamstrings""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Low"", ""goals"": [""Strength""]}"
