source,target,rel
0,1,targets
0,2,requires
0,3,hasType
0,4,hasIntensity
0,5,hasForce
0,6,hasMechanic
0,7,supportsGoal
0,8,supportsGoal
9,10,targets
9,11,recruits
9,2,requires
9,12,hasType
9,4,hasIntensity
9,13,hasForce
9,14,supportsGoal
9,15,supportsGoal
16,1,targets
16,17,requires
16,3,hasType
16,18,hasIntensity
16,5,hasForce
16,19,hasMechanic
16,7,supportsGoal
16,8,supportsGoal
20,1,targets
20,21,recruits
20,22,requires
20,3,hasType
20,18,hasIntensity
20,5,hasForce
20,6,hasMechanic
20,7,supportsGoal
20,8,supportsGoal
23,24,targets
23,25,requires
23,12,hasType
23,18,hasIntensity
23,26,hasForce
23,19,hasMechanic
23,14,supportsGoal
23,15,supportsGoal
27,24,targets
27,2,requires
27,12,hasType
27,18,hasIntensity
27,26,hasForce
27,14,supportsGoal
27,15,supportsGoal
28,1,targets
28,29,recruits
28,10,recruits
28,21,recruits
28,30,requires
28,3,hasType
28,18,hasIntensity
28,13,hasForce
28,19,hasMechanic
28,7,supportsGoal
28,8,supportsGoal
31,1,targets
31,2,requires
31,3,hasType
31,4,hasIntensity
31,5,hasForce
31,6,hasMechanic
31,7,supportsGoal
31,8,supportsGoal
32,33,targets
32,2,requires
32,12,hasType
32,18,hasIntensity
32,26,hasForce
32,14,supportsGoal
32,15,supportsGoal
34,35,targets
34,36,recruits
34,37,requires
34,3,hasType
34,4,hasIntensity
34,5,hasForce
34,19,hasMechanic
34,7,supportsGoal
34,8,supportsGoal
38,1,targets
38,2,requires
38,3,hasType
38,4,hasIntensity
38,5,hasForce
38,19,hasMechanic
38,7,supportsGoal
38,8,supportsGoal
39,35,targets
39,36,recruits
39,37,requires
39,3,hasType
39,4,hasIntensity
39,5,hasForce
39,19,hasMechanic
39,7,supportsGoal
39,8,supportsGoal
40,33,targets
40,41,recruits
40,24,recruits
40,11,recruits
40,29,recruits
40,10,recruits
40,2,requires
40,42,hasType
40,4,hasIntensity
40,13,hasForce
40,6,hasMechanic
40,43,supportsGoal
44,21,targets
44,45,recruits
44,46,requires
44,3,hasType
44,4,hasIntensity
44,13,hasForce
44,6,hasMechanic
44,7,supportsGoal
44,8,supportsGoal
47,21,targets
47,37,requires
47,3,hasType
47,4,hasIntensity
47,13,hasForce
47,19,hasMechanic
47,7,supportsGoal
47,8,supportsGoal
48,49,targets
48,1,recruits
48,21,recruits
48,45,recruits
48,30,requires
48,3,hasType
48,4,hasIntensity
48,13,hasForce
48,6,hasMechanic
48,7,supportsGoal
48,8,supportsGoal
50,10,targets
50,35,recruits
50,11,recruits
50,36,recruits
50,29,recruits
50,51,recruits
50,52,recruits
50,30,requires
50,3,hasType
50,18,hasIntensity
50,5,hasForce
50,6,hasMechanic
50,7,supportsGoal
50,8,supportsGoal
53,21,targets
53,45,recruits
53,30,requires
53,3,hasType
53,18,hasIntensity
53,13,hasForce
53,6,hasMechanic
53,7,supportsGoal
53,8,supportsGoal
54,55,targets
54,35,recruits
54,56,recruits
54,30,requires
54,3,hasType
54,18,hasIntensity
54,5,hasForce
54,19,hasMechanic
54,7,supportsGoal
54,8,supportsGoal
57,55,targets
57,1,recruits
57,35,recruits
57,49,recruits
57,56,recruits
57,45,recruits
57,30,requires
57,3,hasType
57,58,hasIntensity
57,5,hasForce
57,6,hasMechanic
57,7,supportsGoal
57,8,supportsGoal
59,11,targets
59,2,requires
59,12,hasType
59,4,hasIntensity
59,5,hasForce
59,19,hasMechanic
59,14,supportsGoal
59,15,supportsGoal
60,29,targets
60,2,requires
60,12,hasType
60,4,hasIntensity
60,26,hasForce
60,14,supportsGoal
60,15,supportsGoal
61,11,targets
61,22,requires
61,12,hasType
61,18,hasIntensity
61,26,hasForce
61,14,supportsGoal
61,15,supportsGoal
62,21,targets
62,55,recruits
62,52,recruits
62,45,recruits
62,63,requires
62,3,hasType
62,4,hasIntensity
62,13,hasForce
62,6,hasMechanic
62,7,supportsGoal
62,8,supportsGoal
64,21,targets
64,52,recruits
64,2,requires
64,12,hasType
64,4,hasIntensity
64,13,hasForce
64,19,hasMechanic
64,14,supportsGoal
64,15,supportsGoal
65,21,targets
65,45,recruits
65,37,requires
65,3,hasType
65,18,hasIntensity
65,13,hasForce
65,6,hasMechanic
65,7,supportsGoal
65,8,supportsGoal
66,49,targets
66,21,recruits
66,37,requires
66,3,hasType
66,18,hasIntensity
66,13,hasForce
66,6,hasMechanic
66,7,supportsGoal
66,8,supportsGoal
67,51,targets
67,35,recruits
67,36,recruits
67,29,recruits
67,10,recruits
67,33,recruits
67,22,requires
67,68,hasType
67,18,hasIntensity
67,5,hasForce
67,6,hasMechanic
67,43,supportsGoal
67,7,supportsGoal
69,51,targets
69,1,recruits
69,24,recruits
69,35,recruits
69,11,recruits
69,36,recruits
69,29,recruits
69,10,recruits
69,55,recruits
69,33,recruits
69,52,recruits
69,22,requires
69,68,hasType
69,58,hasIntensity
69,5,hasForce
69,6,hasMechanic
69,43,supportsGoal
69,7,supportsGoal
70,51,targets
70,36,recruits
70,29,recruits
70,10,recruits
70,55,recruits
70,33,recruits
70,52,recruits
70,22,requires
70,68,hasType
70,18,hasIntensity
70,5,hasForce
70,6,hasMechanic
70,43,supportsGoal
70,7,supportsGoal
71,21,targets
71,55,recruits
71,45,recruits
71,72,requires
71,3,hasType
71,4,hasIntensity
71,5,hasForce
71,6,hasMechanic
71,7,supportsGoal
71,8,supportsGoal
73,33,targets
73,11,recruits
73,36,recruits
73,29,recruits
73,10,recruits
73,51,recruits
73,22,requires
73,68,hasType
73,4,hasIntensity
73,5,hasForce
73,6,hasMechanic
73,43,supportsGoal
73,7,supportsGoal
74,21,targets
74,75,requires
74,42,hasType
74,4,hasIntensity
74,13,hasForce
74,6,hasMechanic
74,43,supportsGoal
76,11,targets
76,10,recruits
76,33,recruits
76,22,requires
76,3,hasType
76,4,hasIntensity
76,6,hasMechanic
76,7,supportsGoal
76,8,supportsGoal
77,10,targets
77,11,recruits
77,29,recruits
77,78,requires
77,3,hasType
77,4,hasIntensity
77,5,hasForce
77,19,hasMechanic
77,7,supportsGoal
77,8,supportsGoal
79,56,targets
79,1,recruits
79,36,recruits
79,55,recruits
79,22,requires
79,3,hasType
79,4,hasIntensity
79,6,hasMechanic
79,7,supportsGoal
79,8,supportsGoal
80,10,targets
80,29,recruits
80,51,recruits
80,72,requires
80,68,hasType
80,4,hasIntensity
80,5,hasForce
80,6,hasMechanic
80,7,supportsGoal
81,10,targets
81,29,recruits
81,51,recruits
81,72,requires
81,68,hasType
81,4,hasIntensity
81,5,hasForce
81,6,hasMechanic
81,7,supportsGoal
82,24,targets
82,72,requires
82,3,hasType
82,4,hasIntensity
82,5,hasForce
82,19,hasMechanic
82,7,supportsGoal
82,8,supportsGoal
83,21,targets
83,55,recruits
83,52,recruits
83,72,requires
83,3,hasType
83,4,hasIntensity
83,5,hasForce
83,19,hasMechanic
83,7,supportsGoal
83,8,supportsGoal
84,45,targets
84,72,requires
84,3,hasType
84,4,hasIntensity
84,13,hasForce
84,19,hasMechanic
84,7,supportsGoal
84,8,supportsGoal
85,1,targets
85,51,recruits
85,21,recruits
85,63,requires
85,3,hasType
85,18,hasIntensity
85,5,hasForce
85,6,hasMechanic
85,7,supportsGoal
85,8,supportsGoal
86,1,targets
86,51,recruits
86,21,recruits
86,63,requires
86,3,hasType
86,58,hasIntensity
86,5,hasForce
86,6,hasMechanic
86,7,supportsGoal
86,8,supportsGoal
87,49,targets
87,21,recruits
87,45,recruits
87,63,requires
87,3,hasType
87,4,hasIntensity
87,13,hasForce
87,6,hasMechanic
87,7,supportsGoal
87,8,supportsGoal
88,35,targets
88,36,recruits
88,63,requires
88,3,hasType
88,4,hasIntensity
88,5,hasForce
88,19,hasMechanic
88,7,supportsGoal
88,8,supportsGoal
89,35,targets
89,63,requires
89,3,hasType
89,4,hasIntensity
89,5,hasForce
89,19,hasMechanic
89,7,supportsGoal
89,8,supportsGoal
90,51,targets
90,11,recruits
90,36,recruits
90,29,recruits
90,10,recruits
90,56,recruits
90,55,recruits
90,33,recruits
90,52,recruits
90,63,requires
90,3,hasType
90,18,hasIntensity
90,5,hasForce
90,6,hasMechanic
90,7,supportsGoal
90,8,supportsGoal
91,33,targets
91,11,recruits
91,29,recruits
91,10,recruits
91,51,recruits
91,63,requires
91,3,hasType
91,18,hasIntensity
91,13,hasForce
91,6,hasMechanic
91,7,supportsGoal
91,8,supportsGoal
92,29,targets
92,11,recruits
92,10,recruits
92,63,requires
92,68,hasType
92,18,hasIntensity
92,13,hasForce
92,6,hasMechanic
92,7,supportsGoal
93,49,targets
93,21,recruits
93,45,recruits
93,63,requires
93,3,hasType
93,18,hasIntensity
93,13,hasForce
93,6,hasMechanic
93,7,supportsGoal
93,8,supportsGoal
94,33,targets
94,11,recruits
94,36,recruits
94,10,recruits
94,63,requires
94,3,hasType
94,18,hasIntensity
94,13,hasForce
94,6,hasMechanic
94,7,supportsGoal
94,8,supportsGoal
95,29,targets
95,11,recruits
95,10,recruits
95,63,requires
95,68,hasType
95,18,hasIntensity
95,13,hasForce
95,6,hasMechanic
95,7,supportsGoal
96,49,targets
96,21,recruits
96,45,recruits
96,63,requires
96,3,hasType
96,4,hasIntensity
96,13,hasForce
96,6,hasMechanic
96,7,supportsGoal
96,8,supportsGoal
97,21,targets
97,49,recruits
97,63,requires
97,3,hasType
97,4,hasIntensity
97,13,hasForce
97,6,hasMechanic
97,7,supportsGoal
97,8,supportsGoal
98,33,targets
98,11,recruits
98,29,recruits
98,10,recruits
98,63,requires
98,3,hasType
98,18,hasIntensity
98,13,hasForce
98,6,hasMechanic
98,7,supportsGoal
98,8,supportsGoal
99,21,targets
99,35,recruits
99,56,recruits
99,55,recruits
99,63,requires
99,3,hasType
99,4,hasIntensity
99,5,hasForce
99,6,hasMechanic
99,7,supportsGoal
99,8,supportsGoal
100,1,targets
100,29,recruits
100,10,recruits
100,56,recruits
100,21,recruits
100,63,requires
100,3,hasType
100,18,hasIntensity
100,5,hasForce
100,6,hasMechanic
100,7,supportsGoal
100,8,supportsGoal
101,11,targets
101,63,requires
101,3,hasType
101,4,hasIntensity
101,13,hasForce
101,19,hasMechanic
101,7,supportsGoal
101,8,supportsGoal
102,21,targets
102,49,recruits
102,45,recruits
102,63,requires
102,3,hasType
102,18,hasIntensity
102,13,hasForce
102,6,hasMechanic
102,7,supportsGoal
102,8,supportsGoal
103,52,targets
103,63,requires
103,3,hasType
103,4,hasIntensity
103,5,hasForce
103,19,hasMechanic
103,7,supportsGoal
103,8,supportsGoal
104,52,targets
104,36,recruits
104,55,recruits
104,63,requires
104,3,hasType
104,4,hasIntensity
104,5,hasForce
104,19,hasMechanic
104,7,supportsGoal
104,8,supportsGoal
105,1,targets
105,51,recruits
105,63,requires
105,3,hasType
105,4,hasIntensity
105,5,hasForce
105,19,hasMechanic
105,7,supportsGoal
105,8,supportsGoal
106,33,targets
106,11,recruits
106,10,recruits
106,51,recruits
106,63,requires
106,3,hasType
106,4,hasIntensity
106,13,hasForce
106,6,hasMechanic
106,7,supportsGoal
106,8,supportsGoal
107,33,targets
107,11,recruits
107,29,recruits
107,10,recruits
107,51,recruits
107,63,requires
107,3,hasType
107,4,hasIntensity
107,13,hasForce
107,6,hasMechanic
107,7,supportsGoal
107,8,supportsGoal
108,33,targets
108,11,recruits
108,29,recruits
108,10,recruits
108,51,recruits
108,63,requires
108,3,hasType
108,58,hasIntensity
108,13,hasForce
108,6,hasMechanic
108,7,supportsGoal
108,8,supportsGoal
109,33,targets
109,11,recruits
109,29,recruits
109,10,recruits
109,63,requires
109,3,hasType
109,18,hasIntensity
109,13,hasForce
109,6,hasMechanic
109,7,supportsGoal
109,8,supportsGoal
110,33,targets
110,11,recruits
110,29,recruits
110,10,recruits
110,63,requires
110,3,hasType
110,4,hasIntensity
110,13,hasForce
110,6,hasMechanic
110,7,supportsGoal
110,8,supportsGoal
111,21,targets
111,49,recruits
111,36,recruits
111,22,requires
111,3,hasType
111,4,hasIntensity
111,13,hasForce
111,6,hasMechanic
111,7,supportsGoal
111,8,supportsGoal
112,33,targets
112,11,recruits
112,29,recruits
112,10,recruits
112,22,requires
112,68,hasType
112,4,hasIntensity
112,13,hasForce
112,6,hasMechanic
112,43,supportsGoal
112,7,supportsGoal
113,49,targets
113,21,recruits
113,22,requires
113,12,hasType
113,58,hasIntensity
113,26,hasForce
113,19,hasMechanic
113,14,supportsGoal
113,15,supportsGoal
114,45,targets
114,49,recruits
114,21,recruits
114,2,requires
114,3,hasType
114,4,hasIntensity
114,13,hasForce
