variant,base,movement_core,expert_verdict
Alternate Incline Dumbbell Curl,EZ-Bar Curl,curl,
Barbell Curl,EZ-Bar Curl,curl,
Incline Dumbbell Curl,EZ-Bar Curl,curl,
Lying Cable Curl,EZ-Bar Curl,curl,
Reverse Barbell Curl,EZ-Bar Curl,curl,
Reverse Cable Curl,EZ-Bar Curl,curl,
Seated Dumbbell Curl,EZ-Bar Curl,curl,
Standing Dumbbell Reverse Curl,EZ-Bar Curl,curl,
Standing One-Arm Cable Curl,EZ-Bar Curl,curl,
Alternating Cable Shoulder Press,Cable Shoulder Press,shoulder press,
Barbell Shoulder Press,Cable Shoulder Press,shoulder press,
Dumbbell One-Arm Shoulder Press,Cable Shoulder Press,shoulder press,
Dumbbell Shoulder Press,Cable Shoulder Press,shoulder press,
Seated Cable Shoulder Press,Cable Shoulder Press,shoulder press,
Shoulder Press - With Bands,Cable Shoulder Press,shoulder press,
Dumbbell Floor Press,Floor Press,floor press,
One Arm Floor Press,Floor Press,floor press,
Hang Clean - Below the Knees,Hang Clean,hang clean,
Alternating Kettlebell Press,Seated Dumbbell Press,press,
Kettlebell Seated Press,Seated Dumbbell Press,press,
Standing Alternating Dumbbell Press,Seated Dumbbell Press,press,
Standing Dumbbell Press,Seated Dumbbell Press,press,
Alternating Kettlebell Row,Sled Row,row,
Dumbbell Incline Row,Sled Row,row,
One-Arm Dumbbell Row,Sled Row,row,
One-Arm Kettlebell Row,Sled Row,row,
Band Good Morning,Good Morning,good morning,
Barbell Ab Rollout - On Knees,Barbell Ab Rollout,ab rollout,
Barbell Bench Press - Medium Grip,Machine Bench Press,bench press,
Barbell Incline Bench Press - Medium Grip,Machine Bench Press,bench press,
Bench Press - With Bands,Machine Bench Press,bench press,
Decline Barbell Bench Press,Machine Bench Press,bench press,
Decline Dumbbell Bench Press,Machine Bench Press,bench press,
Dumbbell Bench Press,Machine Bench Press,bench press,
One Arm Dumbbell Bench Press,Machine Bench Press,bench press,
Smith Machine Bench Press,Machine Bench Press,bench press,
Smith Machine Incline Bench Press,Machine Bench Press,bench press,
Reverse Band Deadlift,Barbell Deadlift,deadlift,
Barbell Hack Squat,Hack Squat,hack squat,
Barbell Incline Shoulder Raise,Shoulder Raise,shoulder raise,
Dumbbell Incline Shoulder Raise,Shoulder Raise,shoulder raise,
Barbell Seated Calf Raise,Seated Calf Raise,calf raise,
Smith Machine Calf Raise,Seated Calf Raise,calf raise,
Standing Barbell Calf Raise,Seated Calf Raise,calf raise,
Standing Dumbbell Calf Raise,Seated Calf Raise,calf raise,
Dumbbell Shrug,Barbell Shrug,shrug,
Dumbbell Side Bend,Barbell Side Bend,side bend,
Bodyweight Squat,Barbell Squat,squat,
Dumbbell Squat,Barbell Squat,squat,
Lying Machine Squat,Barbell Squat,squat,
Smith Machine Squat,Barbell Squat,squat,
Weighted Squat,Barbell Squat,squat,
Dumbbell Squat To A Bench,Barbell Squat To A Bench,squat to a bench,
Dumbbell Step Ups,Barbell Step Ups,step ups,
Bodyweight Walking Lunge,Barbell Walking Lunge,walking lunge,
Reverse Machine Flyes,Reverse Flyes,flyes,
Reverse Band Box Squat,Box Squat,box squat,
Standing Cable Chest Press,Cable Chest Press,chest press,
Single-Arm Cable Crossover,Cable Crossover,crossover,
Cable Reverse Crunch,Cable Crunch,crunch,
Cable Seated Crunch,Cable Crunch,crunch,
Crunch - Hands Overhead,Cable Crunch,crunch,
Crunch - Legs On Exercise Ball,Cable Crunch,crunch,
Decline Crunch,Cable Crunch,crunch,
Decline Reverse Crunch,Cable Crunch,crunch,
Reverse Crunch,Cable Crunch,crunch,
Cable Hammer Curls - Rope Attachment,Hammer Curls,hammer curls,
Cable Incline Triceps Extension,Machine Triceps Extension,triceps extension,
Cable Lying Triceps Extension,Machine Triceps Extension,triceps extension,
Decline Dumbbell Triceps Extension,Machine Triceps Extension,triceps extension,
Decline EZ Bar Triceps Extension,Machine Triceps Extension,triceps extension,
Dumbbell One-Arm Triceps Extension,Machine Triceps Extension,triceps extension,
Incline Barbell Triceps Extension,Machine Triceps Extension,triceps extension,
Standing Dumbbell Triceps Extension,Machine Triceps Extension,triceps extension,
Standing One-Arm Dumbbell Triceps Extension,Machine Triceps Extension,triceps extension,
Lying Dumbbell Tricep Extension,Cable One Arm Tricep Extension,tricep extension,
Cable Preacher Curl,Preacher Curl,preacher curl,
One Arm Dumbbell Preacher Curl,Preacher Curl,preacher curl,
Lateral Raise - With Bands,Cable Seated Lateral Raise,lateral raise,
Lying One-Arm Lateral Raise,Cable Seated Lateral Raise,lateral raise,
One-Arm Incline Lateral Raise,Cable Seated Lateral Raise,lateral raise,
Calf Raises - With Bands,Standing Calf Raises,calf raises,
Smith Machine Reverse Calf Raises,Standing Calf Raises,calf raises,
Dumbbell Clean,Clean,clean,
One-Arm Kettlebell Clean,Clean,clean,
One-Arm Kettlebell Clean and Jerk,Clean and Jerk,clean and jerk,
Weighted Crunches,Crunches,crunches,
Incline Push-Up,Decline Push-Up,push-up,
Single-Arm Push-Up,Decline Push-Up,push-up,
Dumbbell Alternate Bicep Curl,Machine Bicep Curl,bicep curl,
Dumbbell Bicep Curl,Machine Bicep Curl,bicep curl,
Dumbbell Lying One-Arm Rear Lateral Raise,Dumbbell Lying Rear Lateral Raise,rear lateral raise,
Smith Machine Upright Row,Upright Row - With Bands,upright row,
Standing Dumbbell Upright Row,Upright Row - With Bands,upright row,
Seated Flat Bench Leg Pull-In,Flat Bench Leg Pull-In,flat bench leg pull-in,
Hang Snatch - Below Knees,Hang Snatch,hang snatch,
Seated Dumbbell Inner Biceps Curl,Incline Inner Biceps Curl,inner biceps curl,
Isometric Neck Exercise - Front And Back,Isometric Neck Exercise - Sides,isometric neck exercise,
Smith Machine Pistol Squat,Kettlebell Pistol Squat,pistol squat,
Smith Machine Leg Press,Leg Press,leg press,
Seated Glute,Lying Glute,glute,
Seated Hamstring,Lying Hamstring,hamstring,
Seated Triceps Press,Lying Triceps Press,triceps press,
Reverse Barbell Preacher Curls,Machine Preacher Curls,preacher curls,
Oblique Crunches - On The Floor,Oblique Crunches,oblique crunches,
One-Arm Kettlebell Push Press,Push Press,push press,
Push Press - Behind the Neck,Push Press,push press,
One-Arm Open Palm Kettlebell Clean,Open Palm Kettlebell Clean,open palm kettlebell clean,
Seated Overhead Stretch,Overhead Stretch,overhead stretch,
Reverse Band Sumo Deadlift,Sumo Deadlift,sumo deadlift,
Standing Rope Crunch,Rope Crunch,rope crunch,
Seated Barbell Military Press,Standing Military Press,military press,
Standing Bent-Over One-Arm Dumbbell Triceps Extension,Seated Bent-Over One-Arm Dumbbell Triceps Extension,bent-over one-arm dumbbell triceps extension,
Standing Bent-Over Two-Arm Dumbbell Triceps Extension,Seated Bent-Over Two-Arm Dumbbell Triceps Extension,bent-over two-arm dumbbell triceps extension,
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Seated Dumbbell Palms-Down Wrist Curl,palms-down wrist curl,
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Seated Dumbbell Palms-Up Wrist Curl,palms-up wrist curl,
Standing Hamstring and Calf Stretch,Seated Hamstring and Calf Stretch,hamstring and calf stretch,
Standing Leg Curl,Seated Leg Curl,leg curl,
Seated Side Lateral Raise,Side Lateral Raise,side lateral raise,
Triceps Pushdown - Rope Attachment,Triceps Pushdown,triceps pushdown,
Triceps Pushdown - V-Bar Attachment,Triceps Pushdown,triceps pushdown,
