node_id,name,type,attrs_json
0,3/4 Sit-Up,Exercise,"{""source_id"": ""3_4_Sit-Up"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
1,Abdominals,MuscleGroup,{}
2,Body Only,Equipment,{}
3,Strength,ExerciseType,{}
4,Low,IntensityLevel,{}
5,Pull,ForceType,{}
6,Compound,MechanicType,{}
7,Strength,ExerciseGoal,{}
8,Hypertrophy,ExerciseGoal,{}
9,90/90 Hamstring,Exercise,"{""source_id"": ""90_90_Hamstring"", ""force"": ""push"", ""mechanic"": null, ""level"": ""beginner"", ""curated"": false}"
10,Hamstrings,MuscleGroup,{}
11,Calves,MuscleGroup,{}
12,Flexibility,ExerciseType,{}
13,Push,ForceType,{}
14,Mobility,ExerciseGoal,{}
15,Rehab,ExerciseGoal,{}
16,Ab Crunch Machine,Exercise,"{""source_id"": ""Ab_Crunch_Machine"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""intermediate"", ""curated"": false}"
17,Machine,Equipment,{}
18,Moderate,IntensityLevel,{}
19,Isolation,MechanicType,{}
20,Ab Roller,Exercise,"{""source_id"": ""Ab_Roller"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
21,Shoulders,MuscleGroup,{}
22,Other,Equipment,{}
23,Adductor,Exercise,"{""source_id"": ""Adductor"", ""force"": ""static"", ""mechanic"": ""isolation"", ""level"": ""intermediate"", ""curated"": false}"
24,Adductors,MuscleGroup,{}
25,Foam Roll,Equipment,{}
26,Static,ForceType,{}
27,Adductor/Groin,Exercise,"{""source_id"": ""Adductor_Groin"", ""force"": ""static"", ""mechanic"": null, ""level"": ""intermediate"", ""curated"": false}"
28,Advanced Kettlebell Windmill,Exercise,"{""source_id"": ""Advanced_Kettlebell_Windmill"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""intermediate"", ""curated"": false}"
29,Glutes,MuscleGroup,{}
30,Kettlebells,Equipment,{}
31,Air Bike,Exercise,"{""source_id"": ""Air_Bike"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
32,All Fours Quad Stretch,Exercise,"{""source_id"": ""All_Fours_Quad_Stretch"", ""force"": ""static"", ""mechanic"": null, ""level"": ""intermediate"", ""curated"": false}"
33,Quadriceps,MuscleGroup,{}
34,Alternate Hammer Curl,Exercise,"{""source_id"": ""Alternate_Hammer_Curl"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
35,Biceps,MuscleGroup,{}
36,Forearms,MuscleGroup,{}
37,Dumbbell,Equipment,{}
38,Alternate Heel Touchers,Exercise,"{""source_id"": ""Alternate_Heel_Touchers"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
39,Alternate Incline Dumbbell Curl,Exercise,"{""source_id"": ""Alternate_Incline_Dumbbell_Curl"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
40,Alternate Leg Diagonal Bound,Exercise,"{""source_id"": ""Alternate_Leg_Diagonal_Bound"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
41,Abductors,MuscleGroup,{}
42,Plyometrics,ExerciseType,{}
43,Power,ExerciseGoal,{}
44,Alternating Cable Shoulder Press,Exercise,"{""source_id"": ""Alternating_Cable_Shoulder_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
45,Triceps,MuscleGroup,{}
46,Cable,Equipment,{}
47,Alternating Deltoid Raise,Exercise,"{""source_id"": ""Alternating_Deltoid_Raise"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
48,Alternating Floor Press,Exercise,"{""source_id"": ""Alternating_Floor_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
49,Chest,MuscleGroup,{}
50,Alternating Hang Clean,Exercise,"{""source_id"": ""Alternating_Hang_Clean"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
51,Lower Back,MuscleGroup,{}
52,Traps,MuscleGroup,{}
53,Alternating Kettlebell Press,Exercise,"{""source_id"": ""Alternating_Kettlebell_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
54,Alternating Kettlebell Row,Exercise,"{""source_id"": ""Alternating_Kettlebell_Row"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""intermediate"", ""curated"": false}"
55,Middle Back,MuscleGroup,{}
56,Lats,MuscleGroup,{}
57,Alternating Renegade Row,Exercise,"{""source_id"": ""Alternating_Renegade_Row"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""expert"", ""curated"": false}"
58,High,IntensityLevel,{}
59,Ankle Circles,Exercise,"{""source_id"": ""Ankle_Circles"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
60,Ankle On The Knee,Exercise,"{""source_id"": ""Ankle_On_The_Knee"", ""force"": ""static"", ""mechanic"": null, ""level"": ""beginner"", ""curated"": false}"
61,Anterior Tibialis-SMR,Exercise,"{""source_id"": ""Anterior_Tibialis-SMR"", ""force"": ""static"", ""mechanic"": null, ""level"": ""intermediate"", ""curated"": false}"
62,Anti-Gravity Press,Exercise,"{""source_id"": ""Anti-Gravity_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
63,Barbell,Equipment,{}
64,Arm Circles,Exercise,"{""source_id"": ""Arm_Circles"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
65,Arnold Dumbbell Press,Exercise,"{""source_id"": ""Arnold_Dumbbell_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
