muscle_group,anatomical_term,uberon_id,uberon_label,uberon_iri,match_type,note,alternatives,expert_confirmed
Abdominals,rectus abdominis,UBERON:0002382,rectus abdominis muscle,http://purl.obolibrary.org/obo/UBERON_0002382,narrow,'abdominals' incluye transverso y oblicuos,UBERON:3010792 musculus rectus abdominis profundus; UBERON:0004511 skeletal muscle tissue of rectus abdominis,yes
Abductors,abductor muscle,UBERON:0006845,abductor muscle,http://purl.obolibrary.org/obo/UBERON_0006845,broad,en el dataset se refiere a los abductores de cadera,UBERON:0008464 abductor hallucis muscle; UBERON:0036173 abductor digiti minimi of hand,yes
Adductors,adductor muscle of thigh,UBERON:0000303,adductor longus,http://purl.obolibrary.org/obo/UBERON_0000303,exact,,UBERON:0000368 adductor brevis; UBERON:0000370 adductor magnus,yes
Biceps,biceps brachii,UBERON:0001507,biceps brachii,http://purl.obolibrary.org/obo/UBERON_0001507,exact,UBERON:0001507 verificado manualmente,UBERON:0007168 long head of biceps brachii; UBERON:0008188 tendon of biceps brachii,yes
Calves,triceps surae muscle,UBERON:0001665,triceps surae,http://purl.obolibrary.org/obo/UBERON_0001665,narrow,'calves' incluye tambien tibialis posterior y peroneos,UBERON:0001509 triceps brachii; UBERON:0001388 gastrocnemius,yes
Chest,pectoralis major,UBERON:0002381,pectoralis major,http://purl.obolibrary.org/obo/UBERON_0002381,narrow,'chest' incluye pectoralis minor y serratus anterior,UBERON:0004510 skeletal muscle tissue of pectoralis major; UBERON:0001495 pectoral muscle,yes
Forearms,muscle of forearm,UBERON:0004254,forelimb zeugopod muscle,http://purl.obolibrary.org/obo/UBERON_0004254,broad,"region, no musculo unico",UBERON:0004487 musculature of forelimb zeugopod; UBERON:8600092 radial vein,yes
Glutes,gluteal muscle,UBERON:0002000,gluteal muscle,http://purl.obolibrary.org/obo/UBERON_0002000,exact,"grupo: gluteus maximus, medius, minimus",UBERON:0001371 gluteus medius; UBERON:0001370 gluteus maximus,yes
Hamstrings,hamstring muscle,UBERON:0002463,muscle of posterior compartment of hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0002463,exact,"grupo: biceps femoris, semitendinosus, semimembranosus",UBERON:0001381 semimembranosus muscle; UBERON:0001374 biceps femoris,yes
Lats,latissimus dorsi,UBERON:0001112,latissimus dorsi muscle,http://purl.obolibrary.org/obo/UBERON_0001112,exact,,UBERON:4200100 latissimus dorsi process; UBERON:0010982 latissimus dorsi pre-muscle mass,yes
Lower Back,erector spinae,UBERON:0002462,erector spinae muscle group,http://purl.obolibrary.org/obo/UBERON_0002462,narrow,'lower back' incluye multifidus y quadratus lumborum,UBERON:0010961 erector spinae pre-muscle mass; UBERON:0011013 spinalis muscle,yes
Middle Back,rhomboid muscle,UBERON:0005621,rhomboid,http://purl.obolibrary.org/obo/UBERON_0005621,narrow,'middle back' incluye trapecio medio y romboides,UBERON:0010985 rhomboid pre-muscle mass; UBERON:3010673 m. rhomboideus anterior,yes
Neck,neck muscle,UBERON:0004230,urinary bladder neck smooth muscle,http://purl.obolibrary.org/obo/UBERON_0004230,broad,"region, no musculo unico",UBERON:0002377 muscle of neck; UBERON:0004465 musculature of neck,yes
Quadriceps,quadriceps femoris,UBERON:0001377,quadriceps femoris,http://purl.obolibrary.org/obo/UBERON_0001377,exact,,UBERON:0014848 tendon of quadriceps femoris; UBERON:0004498 skeletal muscle tissue of quadriceps femoris,yes
Shoulders,deltoid,UBERON:0001476,deltoid,http://purl.obolibrary.org/obo/UBERON_0001476,narrow,'shoulders' incluye el manguito rotador; el dataset lo usa sobre todo como deltoides,UBERON:0002498 deltopectoral crest; UBERON:0004500 skeletal muscle tissue of deltoid,yes
Traps,trapezius,UBERON:0002380,trapezius muscle,http://purl.obolibrary.org/obo/UBERON_0002380,exact,,UBERON:0004509 skeletal muscle tissue of trapezius; UBERON:0014800 spinotrapezius muscle,yes
Triceps,triceps brachii,UBERON:0001509,triceps brachii,http://purl.obolibrary.org/obo/UBERON_0001509,exact,,UBERON:0008192 tendon of triceps brachii; UBERON:0011110 humeroulnar joint,yes
